VD_hat,VF_hat,VP_hat,CFP_hat,V_adj_hat,SE_adj_hat,design_id,n_stage1_per_form,n_stage2_per_order,total_response_burden,total_participants,repeated_measurement_participants,scenario_id,phase,true_change_logit,R,valid_n
0.023324768033232395,0.00034218729080715937,0.0004660292086785797,2.301633443660203e-06,0.024133731027871558,0.15363477720435248,GBM01-N1-050-N2-025,50,25,3600,150,50,S01,screen,0.0,3000,2968
0.02276280385198514,0.00033577204709575684,0.00045557974847692194,-1.26715875133151e-06,0.0235539163728211,0.15179852787163722,GBM01-N1-050-N2-025,50,25,3600,150,50,S02,screen,0.0,3000,2964
0.026342315845696997,0.00039595787638852095,0.0005290964075485484,-3.575596419842628e-07,0.02726392068826044,0.163331345767059,GBM01-N1-050-N2-025,50,25,3600,150,50,S03,screen,0.0,3000,2974
0.015012439111802792,0.00020966344202173477,0.0002995416563820871,-2.0144785896165554e-07,0.015522515822527585,0.12292795830783246,GBM01-N1-050-N2-025,50,25,3600,150,50,S04,screen,0.0,3000,2951
0.021987145486337335,0.0003245601121891746,0.00044133331384308685,1.919815770249744e-06,0.022750707369720364,0.1491731859970749,GBM01-N1-050-N2-025,50,25,3600,150,50,S05,screen,0.0,3000,2956
0.02784884793073996,0.0003911110716734279,0.000556146010116136,5.294923068325158e-07,0.02879730455617903,0.16774102184333603,GBM01-N1-050-N2-025,50,25,3600,150,50,S06,screen,0.0,3000,2968
0.027787585710687197,0.0003901783763006772,0.000554936601577341,1.7772185091915732e-06,0.028733856081993237,0.16760640085532538,GBM01-N1-050-N2-025,50,25,3600,150,50,S07,screen,0.0,3000,2957
0.03284459645954609,0.00044757815944833297,0.0006554745201329854,1.9927023517003367e-07,0.033949883978244486,0.18210684722013035,GBM01-N1-050-N2-025,50,25,3600,150,50,S08,screen,0.0,3000,2967
0.02582123795181144,0.00036871756929000035,0.0005170774202299101,-6.0889367875816965e-06,0.026706007909346685,0.16142573674749072,GBM01-N1-050-N2-025,50,25,3600,150,50,S09,screen,0.0,3000,2943
0.023361977309967853,0.00030290235545298646,0.0004665826874193042,-8.958312981023293e-07,0.024132523284388235,0.15366864931381652,GBM01-N1-075-N2-025,75,25,4500,200,50,S01,screen,0.0,3000,2961
0.02283092758338985,0.0002984959140360325,0.00045550028364131645,4.1250953691337086e-07,0.023586594247767607,0.15188934830058504,GBM01-N1-075-N2-025,75,25,4500,200,50,S02,screen,0.0,3000,2967
0.026447130098057586,0.0003526959028928344,0.0005291598484375325,9.454780466942016e-07,0.027329075218929088,0.1636587863814287,GBM01-N1-075-N2-025,75,25,4500,200,50,S03,screen,0.0,3000,2965
0.01480490225120543,0.00018250543164994397,0.00029775032439220787,-4.710512567458487e-07,0.015282982999748054,0.12200290036175117,GBM01-N1-075-N2-025,75,25,4500,200,50,S04,screen,0.0,3000,2959
0.022058349519149277,0.0002848549933171693,0.00043734005218362633,1.473656223956751e-06,0.022785332764348843,0.14920819968989113,GBM01-N1-075-N2-025,75,25,4500,200,50,S05,screen,0.0,3000,2962
0.027486623082236424,0.00033976500110273906,0.0005515476572673841,2.0074597977348837e-06,0.028375404706521945,0.16645391018269878,GBM01-N1-075-N2-025,75,25,4500,200,50,S06,screen,0.0,3000,2961
0.027541069043428325,0.0003404250885775156,0.0005522215911376305,4.4483833894244036e-06,0.02843211711510654,0.16669654754769606,GBM01-N1-075-N2-025,75,25,4500,200,50,S07,screen,0.0,3000,2967
0.03263069666889112,0.00038823119300140035,0.000656123519352686,2.764088416194146e-06,0.03367052440478757,0.18135216889605119,GBM01-N1-075-N2-025,75,25,4500,200,50,S08,screen,0.0,3000,2960
0.025806093420400206,0.000324418487966351,0.0005176570243187746,-4.870475287335676e-06,0.02664596185638909,0.1612696726603798,GBM01-N1-075-N2-025,75,25,4500,200,50,S09,screen,0.0,3000,2938
0.022623912378229003,0.00023324745808495513,0.0002843159221148509,-2.2553765326460918e-07,0.023139082010525697,0.15104536480353964,GBM01-N1-050-N2-040,50,40,4680,180,80,S02,screen,0.0,3000,2973
0.023339154426346567,0.00023824690090475453,0.0002916964693891643,-1.2368624959528002e-06,0.023869186478190002,0.15341741745249018,GBM01-N1-050-N2-040,50,40,4680,180,80,S01,screen,0.0,3000,2973
0.026560766161460605,0.0002744278507134723,0.0003317454657515422,-1.6704029981499752e-07,0.027167355555468883,0.16381618117279276,GBM01-N1-050-N2-040,50,40,4680,180,80,S03,screen,0.0,3000,2960
0.015000903002731221,0.0001474131330137621,0.00018669377591548744,-3.272951902091805e-07,0.015336316661172423,0.12277513885338019,GBM01-N1-050-N2-040,50,40,4680,180,80,S04,screen,0.0,3000,2978
0.022150473515714766,0.00022599806097905035,0.00027670323732143567,9.963359982878157e-07,0.02265337549103459,0.14946054446902132,GBM01-N1-050-N2-040,50,40,4680,180,80,S05,screen,0.0,3000,2966
0.027583875950923365,0.0002745917189782652,0.00034601582136122656,1.9110544803232026e-06,0.028202496935582022,0.166727131592001,GBM01-N1-050-N2-040,50,40,4680,180,80,S06,screen,0.0,3000,2962
0.02764813294555773,0.0002744620716775872,0.0003461314230009369,1.4027063326935824e-06,0.02826796791283145,0.16696405005556275,GBM01-N1-050-N2-040,50,40,4680,180,80,S07,screen,0.0,3000,2962
0.03298706374677148,0.0003188492127025387,0.0004104061692073124,8.896953012837882e-07,0.03371932274242707,0.18230957168746048,GBM01-N1-050-N2-040,50,40,4680,180,80,S08,screen,0.0,3000,2973
0.02586204794175972,0.0002590578518020602,0.0003232155306714018,-2.388724958003422e-06,0.026444393732321488,0.1614745513635097,GBM01-N1-050-N2-040,50,40,4680,180,80,S09,screen,0.0,3000,2953
0.023304516623215265,0.0001974794117057081,0.0002330267143819515,-1.4316327636127145e-07,0.02373505104117562,0.15321967548111037,GBM01-N1-050-N2-050,50,50,5400,200,100,S01,screen,0.0,3000,2961
