design_id,n_stage1_per_form,n_stage2_per_order,total_response_burden,total_participants,repeated_measurement_participants,scenario_id,phase,true_change_logit,R,valid_n,ab_count,ba_count,false_reliable_change_rate,false_reliable_change_ci_low,false_reliable_change_ci_high,false_increase_rate,false_decrease_rate,indeterminate_rate,indeterminate_ci_low,indeterminate_ci_high,se_signed_rel_bias,se_signed_rel_bias_ci_low,se_signed_rel_bias_ci_high,se_abs_rel_error,se_abs_rel_error_ci_low,se_abs_rel_error_ci_high,form_bias_norm,form_bias_norm_ci_low,form_bias_norm_ci_high,practice_bias_norm,practice_bias_norm_ci_low,practice_bias_norm_ci_high
GBM01-N1-050-N2-025,50,25,3600,150,50,S01,screen,0.0,3000,2968,1500,1500,0.059666666666666666,0.04946888558965727,0.07180786038746095,0.03133333333333333,0.028333333333333332,0.010666666666666666,0.00680144026857975,0.01669156737291122,-0.009143712542766884,-0.01616603811457187,-0.002121386970961898,0.11811901281621401,0.11384117405034125,0.12239685158208677,-0.004025517951639629,-0.009707759680689258,0.0016567237774099998,0.0009673841359943145,-0.0055610949683667955,0.007495863240355425
GBM01-N1-050-N2-025,50,25,3600,150,50,S02,screen,0.0,3000,2964,1500,1500,0.06333333333333334,0.05281487668315638,0.07577901978166185,0.037333333333333336,0.026,0.012,0.007849758859317126,0.018304030777701114,-0.010421380069368436,-0.017395596700330418,-0.003447163438406453,0.11955098909678419,0.11544263745547931,0.12365934073808907,-0.0002048579204013889,-0.00598434538339179,0.005574629542589012,-0.0017088652029398842,-0.008252823464878734,0.004835093058998965
GBM01-N1-050-N2-025,50,25,3600,150,50,S03,screen,0.0,3000,2974,1500,1500,0.06933333333333333,0.05831305357997481,0.08225436186471614,0.033,0.036333333333333336,0.008666666666666666,0.005263710049998545,0.014238124598201514,-0.014856911862470509,-0.021759287824458056,-0.007954535900482961,0.11732942226693031,0.11315651688068895,0.12150232765317168,-0.0031878554282480463,-0.009042928987337353,0.0026672181308412604,0.0016060509001570324,-0.005026179097783286,0.00823828089809735
GBM01-N1-050-N2-025,50,25,3600,150,50,S04,screen,0.0,3000,2951,1500,1500,0.066,0.05525515582811704,0.07866030462775572,0.036333333333333336,0.029666666666666668,0.01633333333333333,0.011351360104831173,0.023449971017650697,-0.010762256881258078,-0.018501594398184433,-0.0030229193643317243,0.13110804632004078,0.12647155497255733,0.13574453766752423,-0.002872077549933709,-0.008471007803454871,0.0027268527035874536,-0.0039971391963878255,-0.010630261282245031,0.0026359828894693803
GBM01-N1-050-N2-025,50,25,3600,150,50,S05,screen,0.0,3000,2956,1500,1500,0.06533333333333333,0.05464456867074268,0.07794050078736646,0.035,0.030333333333333334,0.014666666666666666,0.009989802668128874,0.02148555095994391,-0.012336227842236838,-0.019332824333077283,-0.005339631351396392,0.11974947286674295,0.11561468986565256,0.12388425586783335,0.0018185269877570925,-0.003866808959845953,0.0075038629353601375,0.0007710680887648786,-0.005782467725789389,0.007324603903319147
GBM01-N1-050-N2-025,50,25,3600,150,50,S06,screen,0.0,3000,2968,1500,1500,0.06466666666666666,0.054034323152400435,0.07722035530794506,0.033,0.03166666666666667,0.010666666666666666,0.00680144026857975,0.01669156737291122,-0.007626908224601749,-0.014817909112542556,-0.0004359073366609423,0.12255200964081613,0.11827946516745029,0.12682455411418198,0.0010300592176769004,-0.0045523106794621215,0.006612429114815923,-0.00203731920183072,-0.008774259594761757,0.004699621191100317
GBM01-N1-050-N2-025,50,25,3600,150,50,S07,screen,0.0,3000,2957,1500,1500,0.06766666666666667,0.05678308743718284,0.08045835051309903,0.03766666666666667,0.03,0.014333333333333333,0.00971953762913326,0.021090620500057708,-0.008638394587840903,-0.015737138467300987,-0.0015396507083808176,0.11942739490691107,0.11512090836123412,0.12373388145258801,0.00012466802905873852,-0.005412513727374667,0.0056618497854921445,-0.0031222822947777258,-0.009810462798723966,0.003565898209168514
GBM01-N1-050-N2-025,50,25,3600,150,50,S08,screen,0.0,3000,2967,1500,1500,0.063,0.05251023636990424,0.07541846459603219,0.030666666666666665,0.03233333333333333,0.011,0.007061959784684468,0.017096243355688316,-0.010221597825432825,-0.017433978490466615,-0.003009217160399035,0.12233466501068445,0.11800177239856564,0.12666755762280324,-0.00035452089142116116,-0.005768852397049633,0.0050598106142073105,0.00017261066946367903,-0.006353553158062243,0.006698774496989601
GBM01-N1-050-N2-025,50,25,3600,150,50,S09,screen,0.0,3000,2943,1500,1500,0.06666666666666667,0.05586607986397509,0.07937977158966131,0.03833333333333333,0.028333333333333332,0.019,0.013560807939895364,0.026562087173641058,-0.012982174763064194,-0.02036450725269642,-0.005599842273431968,0.12506450729565283,0.12063680786362627,0.1294922067276794,-0.034212688525827525,-0.03988405753369611,-0.028541319517958942,0.0029618509277413844,-0.003750334521525785,0.009674036377008553
GBM01-N1-050-N2-040,50,40,4680,180,80,S01,screen,0.0,3000,2973,1500,1500,0.057666666666666665,0.047648679288635046,0.06963689369519227,0.030666666666666665,0.027,0.009,0.0055166755619983614,0.014650354585083519,-0.004717895656984263,-0.010305138943189955,0.0008693476292214296,0.0943418321030443,0.09096586446141253,0.09771779974467606,-0.00043169027569965867,-0.005249222603025332,0.004385842051626015,0.0005786087561740454,-0.004766368648550794,0.005923586160898885
